Agency,Category,Service Type,Address,Latitude,Longitude,Phone,Email,Website,Hours,Services Offered,Cost/Payment,Description,Crisis Service,Languages,Special Notes
Al-Anon Family Groups - Lumberton AFG,Community Services,Support Group,401 East 1st Street Lumberton NC 28358,34.6172659,-79.0044508,(910)678-8733,,www.al-anon.org,6:30PM Sun/Mon,Support for families affected by alcoholism,Free,Mutual support program for people whose lives have been affected by someone else's drinking,No,,
Al-Anon Family Groups - Stop the Pain AFG,Community Services,Support Group,3929 Missouri Road Maxton NC 28364,34.7334275,-79.2335402,(910)678-8733,,www.al-anon.org,7:00PM Thu,Support for families affected by alcoholism,Free,Located at Prospect United Methodist Church,No,,
Alcoholics Anonymous - The Road Not Taken Group,Community Services,Support Group,3929 Missouri Road Maxton NC 28364,34.7334275,-79.2335402,(910)678-8002,,https://www.fayaa.org/meetings/back-to-the-basics?tsml-day=any&tsml-region=robeson_county,6PM Sun,12-step recovery program for alcoholism,Free,Located at Prospect United Methodist Church,No,,
Alcoholics Anonymous - Above the Influence ,Community Services,Support Group,"2550 Fayetteville Rd Lumberton, NC 28358",34.6380468,-79.0012033,(910)678-8733,,https://www.fayaa.org/meetings/above-the-influence?tsml-day=any&tsml-region=robeson_county,,,,,,,
Alcoholics Anonymous- Fairmont Group,Community Services,Support Group,"301 S Main St Fairmont, NC 28340",34.4962169,-79.1140609,(910)678-8802,,https://www.fayaa.org/meetings/fairmount-group?tsml-day=any&tsml-region=robeson_county,,,,,,,
Alcoholics Anonymous- Keep Coming Back,Community Services,Support Group,"400 M.L.K. Jr Dr Lumberton, NC 28358",34.59153,-79.04188,(910)678-8802,,https://www.fayaa.org/meetings/keep-coming-back-group-2?tsml-day=any&tsml-region=robeson_county,,,,,,,
Alcoholics Anonymous - I-95 Group,Community Services,Support Group,"210 E 4th St Lumberton, NC 28358",34.6192788,-79.0072125,(910)678-8002,,https://www.fayaa.org/meetings/i-95-group-4?tsml-day=any&tsml-region=robeson_county,7PM Thu,12-step recovery program for alcoholism,Free,Located at New Hope United Methodist Church,No,,
Alcoholics Anonymous - Easy Does It,Community Services,Support Group,"210 E 4th St Lumberton, NC 28358",34.6192788,-79.0072125,(910)678-8002,,https://www.fayaa.org/meetings/easy-does-it-2?tsml-day=any&tsml-region=robeson_county,7PM Wed,12-step recovery program for alcoholism,Free,Located at Guardian Ad Litem Building,No,,
Alcoholics Anonymous - Saturday Morning Group,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(910)678-8002,,www.aa.org,8AM Sat,12-step recovery program for alcoholism,Free,Located at Southeastern Integrated Care,No,,
Alcoholics Anonymous - Thursday Morning Group,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(910)678-8002,,www.aa.org,8AM Thu,12-step recovery program for alcoholism,Free,Located at Southeastern Integrated Care,No,,
Cocaine Anonymous,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(310)559-5833,,www.ca.org,7PM Tue,12-step recovery program for cocaine addiction,Free,Located at Southeastern Integrated Care,No,,
Crystal Meth Anonymous,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(855)638-4373,,www.crystalmeth.org,7PM Mon,12-step recovery program for methamphetamine addiction,Free,Located at Southeastern Integrated Care,No,,
Narcotics Anonymous - Just for Today,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(818)773-9999,,www.na.org,7PM Sun,12-step recovery program for drug addiction,Free,Located at Southeastern Integrated Care,No,,
Narcotics Anonymous - Maxton Group,Community Services,Support Group,3929 Missouri Road Maxton NC 28364,34.7334275,-79.2335402,(818)773-9999,,www.na.org,7PM Fri,12-step recovery program for drug addiction,Free,Located at Prospect United Methodist Church,No,,
Smart Recovery,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(440)951-5357,,www.smartrecovery.org,11AM Sat,4-point program for addiction recovery,Free,Located at Southeastern Integrated Care,No,,
Refuge Recovery,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,,,refugerecovery.org,5PM Wed,Buddhist-inspired approach to addiction recovery,Free,Located at Southeastern Integrated Care,No,,
LifeRing Secular Recovery,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(510)763-0779,,www.lifering.org,6PM Fri,Secular self-help addiction recovery program,Free,Located at Southeastern Integrated Care,No,,
Women for Sobriety,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,34.6480408,-79.1697352,(215)536-8026,,www.womenforsobriety.org,11AM Thu,Support group for women in recovery,Free,Located at Southeastern Integrated Care,No,,
Celebrate Recovery,Faith-Based Services,Support Group,Various locations throughout Robeson County,34.6383858,-79.1096901,Contact individual churches,,www.celebraterecovery.com,Varies by location,Christ-centered recovery program,Free,Available at multiple churches,No,,Check with local churches for specific times
