Organization Name,Category,Service Type,Address,Phone,Email,Website,Hours,Services Offered,Cost/Payment,Description,Crisis Service,Languages,Special Notes
Al-Anon Family Groups - Lumberton AFG,Free Programs,Support Group,"401 East 1st Street, Lumberton, NC 28358",(910)678-8733,,www.al-anon.org,6:30PM Sun/Mon,Support for families affected by alcoholism,Free,Mutual support program for people whose lives have been affected by someone else's drinking,No,,
Al-Anon Family Groups - Stop the Pain AFG,Free Programs,Support Group,"3929 Missouri Road, Maxton, NC 28364",(910)678-8733,,www.al-anon.org,7:00PM Thu,Support for families affected by alcoholism,Free,Located at Prospect United Methodist Church,No,,
Alcoholics Anonymous - The Road Not Taken Group,Free Programs,Support Group,"3929 Missouri Road, Maxton, NC 28364",(910)678-8002,,www.aa.org,6PM Sun,12-step recovery program for alcoholism,Free,Located at Prospect United Methodist Church,No,,
Alcoholics Anonymous - I-95 Group,Free Programs,Support Group,"401 East 1st Street, Lumberton, NC 28340",(910)678-8002,,www.aa.org,12PM Daily,12-step recovery program for alcoholism,Free,"Daily meetings, wheelchair accessible",No,,Wheelchair accessible
Alcoholics Anonymous - Easy Does It,Free Programs,Support Group,"401 East 1st Street, Lumberton, NC 28340",(910)678-8002,,www.aa.org,6:30PM Daily,12-step recovery program for alcoholism,Free,"Daily evening meetings, wheelchair accessible",No,,Wheelchair accessible
Narcotics Anonymous - Our Primary Purpose Group,Free Programs,Support Group,"120 W. 6th Street, Lumberton, NC 28358",(866)418-9500,,ncregion-na.com,Multiple daily meetings,12-step recovery program for drug addiction,Free,Multiple meetings throughout the week,No,,"Children welcome, wheelchair accessible"
Narcotics Anonymous - Fresh Start,Free Programs,Support Group,"334 N. Main Street, Raeford, NC 28376",(866)418-9500,,ncregion-na.com,8:00PM Mon/Tue/Wed,12-step recovery program for drug addiction,Free,Located at Hoke County Public Library,No,,
Nar-Anon - Wednesday Serenity Seekers,Free Programs,Support Group,"560 Wilkes Road, Fayetteville, NC 28306",(800)477-6291,wso@nar-anon.org,www.nar-anon.org,6:00PM Wed,Support for families affected by drug addiction,Free,Located at Myrover-Reese Fellowship Home,No,,
Celebrate Recovery - Hyde Park Baptist Church,Free Programs,Faith-Based Support,"301 N Roberts Ave, Lumberton, NC 28358",(910)739-4780,,www.celebraterecovery.com,Friday 6:30 PM,Christ-centered 12-step recovery program,Free,"For anyone struggling with hurt, pain or addiction",No,,
Stop the Pain,Free Programs,Faith-Based Support,"3929 Missouri Road, Maxton, NC 28364",(910)734-9268,stopthepainmc@gmail.com,,Weekly meetings,"AA, Al-Anon, Recovery Sunday School, RAP program, transportation",Free,Faith-based ministry of Prospect United Methodist Church,No,,Transportation provided with 24-hour advance notice
"Advantage Behavioral Healthcare, Inc. - Lumberton",Treatment,Outpatient,"1600 East 5th Street, Lumberton, NC 28358",(910)738-3571,,www.advantagebeh.com,,"Community support, therapy, psychiatric services, case management","Most insurance, Medicaid, Medicare, self-pay",Progressive and innovative quality healthcare services,No,,
