Organization Name,Category,Service Type,Address,Phone,Email,Website,Hours,Services Offered,Cost/Payment,Description,Crisis Service,Languages,Special Notes
Al-Anon Family Groups - Lumberton AFG,Community Services,Support Group,401 East 1st Street Lumberton NC 28358,(910)678-8733,,www.al-anon.org,6:30PM Sun/Mon,Support for families affected by alcoholism,Free,Mutual support program for people whose lives have been affected by someone else's drinking,No,,
Al-Anon Family Groups - Stop the Pain AFG,Community Services,Support Group,3929 Missouri Road Maxton NC 28364,(910)678-8733,,www.al-anon.org,7:00PM Thu,Support for families affected by alcoholism,Free,Located at Prospect United Methodist Church,No,,
Alcoholics Anonymous - The Road Not Taken Group,Community Services,Support Group,3929 Missouri Road Maxton NC 28364,(910)678-8002,,www.aa.org,6PM Sun,12-step recovery program for alcoholism,Free,Located at Prospect United Methodist Church,No,,
Alcoholics Anonymous - I-95 Group,Community Services,Support Group,204 West Main Street Rowland NC 28383,(910)678-8002,,www.aa.org,7PM Thu,12-step recovery program for alcoholism,Free,Located at New Hope United Methodist Church,No,,
Alcoholics Anonymous - Easy Does It,Community Services,Support Group,435 Caton Road Lumberton NC 28360,(910)678-8002,,www.aa.org,7PM Wed,12-step recovery program for alcoholism,Free,Located at Guardian Ad Litem Building,No,,
Alcoholics Anonymous - Saturday Morning Group,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,(910)678-8002,,www.aa.org,8AM Sat,12-step recovery program for alcoholism,Free,Located at Southeastern Integrated Care,No,,
Alcoholics Anonymous - Thursday Morning Group,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,(910)678-8002,,www.aa.org,8AM Thu,12-step recovery program for alcoholism,Free,Located at Southeastern Integrated Care,No,,
Cocaine Anonymous,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,(310)559-5833,,www.ca.org,7PM Tue,12-step recovery program for cocaine addiction,Free,Located at Southeastern Integrated Care,No,,
Crystal Meth Anonymous,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,(855)638-4373,,www.crystalmeth.org,7PM Mon,12-step recovery program for methamphetamine addiction,Free,Located at Southeastern Integrated Care,No,,
Narcotics Anonymous - Just for Today,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,(818)773-9999,,www.na.org,7PM Sun,12-step recovery program for drug addiction,Free,Located at Southeastern Integrated Care,No,,
Narcotics Anonymous - Maxton Group,Community Services,Support Group,3929 Missouri Road Maxton NC 28364,(818)773-9999,,www.na.org,7PM Fri,12-step recovery program for drug addiction,Free,Located at Prospect United Methodist Church,No,,
Smart Recovery,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,(440)951-5357,,www.smartrecovery.org,11AM Sat,4-point program for addiction recovery,Free,Located at Southeastern Integrated Care,No,,
Refuge Recovery,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,,,refugerecovery.org,5PM Wed,Buddhist-inspired approach to addiction recovery,Free,Located at Southeastern Integrated Care,No,,
LifeRing Secular Recovery,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,(510)763-0779,,www.lifering.org,6PM Fri,Secular self-help addiction recovery program,Free,Located at Southeastern Integrated Care,No,,
Women for Sobriety,Community Services,Support Group,86 Three Hunts Drive Pembroke NC 28372,(215)536-8026,,www.womenforsobriety.org,11AM Thu,Support group for women in recovery,Free,Located at Southeastern Integrated Care,No,,
Celebrate Recovery,Faith-Based Services,Support Group,Various locations throughout Robeson County,Contact individual churches,,www.celebraterecovery.com,Varies by location,Christ-centered recovery program,Free,Available at multiple churches,No,,Check with local churches for specific times
Life Groups,Faith-Based Services,Support Group,Various churches throughout Robeson County,Contact individual churches,,,Varies by church,Small group Bible study and fellowship,Free,Available at many local churches,No,,Contact churches directly for information
Gam-Anon,Community Services,Support Group,Contact for meeting location,(855)222-5542,,www.gam-anon.org,Contact for schedule,Support for families affected by gambling addiction,Free,For those affected by compulsive gambling,No,,Call for current meeting information
Gamblers Anonymous,Community Services,Support Group,Contact for meeting location,(855)222-5542,,www.gamblersanonymous.org,Contact for schedule,12-step program for gambling addiction,Free,For those with gambling problems,No,,Call for current meeting information
Overeaters Anonymous,Community Services,Support Group,Contact for meeting location,(505)891-2664,,www.oa.org,Contact for schedule,12-step program for food addiction,Free,For those with food and eating issues,No,,Call for current meeting information
Sex Addicts Anonymous,Community Services,Support Group,Contact for meeting location,(713)869-4902,,www.saa-recovery.org,Contact for schedule,12-step program for sexual addiction,Free,For those with sexual addiction,No,,Call for current meeting information
Debtors Anonymous,Community Services,Support Group,Contact for meeting location,(781)453-2743,,www.debtorsanonymous.org,Contact for schedule,12-step program for debt and spending issues,Free,For those with compulsive debting,No,,Call for current meeting information
Nicotine Anonymous,Community Services,Support Group,Contact for meeting location,(877)879-6422,,www.nicotine-anonymous.org,Contact for schedule,12-step program for nicotine addiction,Free,For those wanting to quit smoking/tobacco,No,,Call for current meeting information
Workaholics Anonymous,Community Services,Support Group,Contact for meeting location,(510)273-9253,,www.workaholics-anonymous.org,Contact for schedule,12-step program for work addiction,Free,For those with compulsive working habits,No,,Call for current meeting information
NAMI Support Groups,Healthcare Services,Support Group,Contact NAMI Robeson County,(910)521-9309,,www.nami.org,Contact for schedule,Support for mental health conditions,Free,For individuals and families affected by mental illness,No,,Contact local NAMI chapter
Depression and Bipolar Support Alliance,Community Services,Support Group,Contact for meeting location,(800)826-3632,,www.dbsalliance.org,Contact for schedule,Peer support for mood disorders,Free,For those with depression and bipolar disorder,No,,Call for current meeting information
Anxiety and Depression Support Group,Community Services,Support Group,Contact for meeting location,Contact local mental health providers,,,Contact for schedule,Support for anxiety and depression,Free,Peer support for anxiety and depression,No,,Contact local providers for information
